PING 88.80.187.84 (88.80.187.84) 376(404) bytes of data.
384 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=65.0 ms
384 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=63.8 ms
384 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=131 ms
384 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=88.5 ms
384 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=77.8 ms
384 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=55.6 ms
384 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=123 ms
384 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=78.1 ms
384 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=74.4 ms
384 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=59.8 ms
384 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=57.4 ms
384 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=68.7 ms
384 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=70.4 ms
384 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=69.0 ms
384 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=54.1 ms
384 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=57.4 ms
384 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=56.3 ms
384 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=58.3 ms
384 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=63.0 ms
384 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=67.2 ms
384 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=66.9 ms
384 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=65.5 ms
384 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=102 ms
384 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=61.0 ms
384 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=70.1 ms
384 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=83.7 ms
384 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=55.9 ms
384 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=135 ms
384 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=93.5 ms
384 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=133 ms
384 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=52.6 ms
384 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=71.4 ms
384 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=89.1 ms
384 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=83.8 ms
384 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=84.7 ms
384 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=124 ms
384 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=81.7 ms
384 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=119 ms
384 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=76.7 ms
384 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=115 ms
384 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=73.3 ms
384 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=93.7 ms
384 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=70.6 ms
384 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=108 ms
384 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=145 ms
384 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=101 ms
384 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=69.7 ms
384 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=101 ms
384 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=140 ms
384 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=97.9 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49074ms
rtt min/avg/max/mdev = 52.599/84.096/145.439/25.557 ms
