PING 88.80.187.84 (88.80.187.84) 576(604) bytes of data.
584 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=67.8 ms
584 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=94.8 ms
584 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=134 ms
584 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=90.0 ms
584 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=63.5 ms
584 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=89.3 ms
584 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=129 ms
584 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=87.8 ms
584 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=70.4 ms
584 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=81.6 ms
584 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=123 ms
584 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=81.0 ms
584 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=119 ms
584 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=78.0 ms
584 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=116 ms
584 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=66.0 ms
584 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=79.9 ms
584 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=65.4 ms
584 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=63.2 ms
584 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=65.7 ms
584 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=106 ms
584 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=69.4 ms
584 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=106 ms
584 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=66.6 ms
584 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=103 ms
584 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=61.4 ms
584 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=71.4 ms
584 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=226 ms
584 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=97.1 ms
584 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=100 ms
584 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=92.9 ms
584 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=58.4 ms
584 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=90.5 ms
584 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=128 ms
584 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=86.9 ms
584 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=125 ms
584 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=84.2 ms
584 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=123 ms
584 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=82.0 ms
584 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=119 ms
584 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=79.3 ms
584 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=115 ms
584 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=75.9 ms
584 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=115 ms
584 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=73.7 ms
584 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=112 ms
584 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=72.4 ms
584 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=109 ms
584 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=68.6 ms
584 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=102 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49070ms
rtt min/avg/max/mdev = 58.356/93.710/226.132/28.530 ms
