PING 88.80.187.84 (88.80.187.84) 426(454) bytes of data.
434 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=76.6 ms
434 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=76.1 ms
434 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=75.0 ms
434 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=113 ms
434 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=152 ms
434 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=111 ms
434 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=63.5 ms
434 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=106 ms
434 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=66.4 ms
434 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=104 ms
434 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=63.5 ms
434 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=101 ms
434 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=140 ms
434 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=98.9 ms
434 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=138 ms
434 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=96.6 ms
434 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=135 ms
434 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=92.5 ms
434 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=139 ms
434 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=89.6 ms
434 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=128 ms
434 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=85.5 ms
434 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=125 ms
434 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=82.7 ms
434 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=121 ms
434 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=79.1 ms
434 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=115 ms
434 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=76.7 ms
434 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=114 ms
434 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=73.0 ms
434 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=111 ms
434 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=72.0 ms
434 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=110 ms
434 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=69.5 ms
434 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=108 ms
434 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=64.6 ms
434 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=104 ms
434 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=142 ms
434 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=109 ms
434 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=140 ms
434 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=97.7 ms
434 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=136 ms
434 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=95.0 ms
434 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=134 ms
434 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=92.4 ms
434 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=131 ms
434 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=91.1 ms
434 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=129 ms
434 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=86.2 ms
434 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=124 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49069ms
rtt min/avg/max/mdev = 63.455/103.709/151.915/24.601 ms
