PING 88.80.187.84 (88.80.187.84) 601(629) bytes of data.
609 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=327 ms
609 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=70.2 ms
609 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=76.1 ms
609 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=113 ms
609 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=74.1 ms
609 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=114 ms
609 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=64.8 ms
609 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=112 ms
609 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=73.3 ms
609 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=79.8 ms
609 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=148 ms
609 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=108 ms
609 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=59.1 ms
609 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=83.2 ms
609 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=68.0 ms
609 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=66.4 ms
609 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=59.5 ms
609 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=57.3 ms
609 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=70.6 ms
609 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=98.1 ms
609 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=67.6 ms
609 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=88.0 ms
609 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=67.6 ms
609 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=94.0 ms
609 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=56.0 ms
609 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=64.6 ms
609 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=60.4 ms
609 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=61.3 ms
609 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=69.5 ms
609 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=69.3 ms
609 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=56.8 ms
609 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=64.7 ms
609 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=124 ms
609 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=75.6 ms
609 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=65.7 ms
609 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=65.5 ms
609 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=131 ms
609 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=56.0 ms
609 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=58.0 ms
609 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=54.3 ms
609 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=121 ms
609 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=171 ms
609 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=72.3 ms
609 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=78.6 ms
609 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=118 ms
609 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=78.2 ms
609 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=118 ms
609 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=76.4 ms
609 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=68.6 ms
609 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=75.6 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49041ms
rtt min/avg/max/mdev = 54.250/86.982/327.399/43.090 ms
