PING 88.80.187.84 (88.80.187.84) 526(554) bytes of data.
534 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=78.5 ms
534 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=177 ms
534 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=72.8 ms
534 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=108 ms
534 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=68.2 ms
534 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=105 ms
534 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=66.0 ms
534 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=78.2 ms
534 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=60.1 ms
534 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=56.9 ms
534 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=136 ms
534 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=55.5 ms
534 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=137 ms
534 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=95.5 ms
534 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=134 ms
534 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=92.2 ms
534 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=131 ms
534 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=89.1 ms
534 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=128 ms
534 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=85.8 ms
534 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=64.9 ms
534 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=82.3 ms
534 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=56.8 ms
534 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=78.7 ms
534 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=116 ms
534 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=75.6 ms
534 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=62.4 ms
534 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=73.4 ms
534 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=110 ms
534 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=70.4 ms
534 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=68.6 ms
534 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=60.2 ms
534 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=79.8 ms
534 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=59.8 ms
534 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=56.5 ms
534 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=91.5 ms
534 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=69.9 ms
534 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=56.6 ms
534 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=66.9 ms
534 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=64.4 ms
534 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=59.4 ms
534 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=56.9 ms
534 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=51.9 ms
534 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=60.6 ms
534 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=87.3 ms
534 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=66.0 ms
534 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=56.4 ms
534 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=123 ms
534 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=80.8 ms
534 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=120 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49072ms
rtt min/avg/max/mdev = 51.908/83.647/177.296/28.050 ms
