PING 88.80.187.84 (88.80.187.84) 1251(1279) bytes of data.
1259 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=66.0 ms
1259 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=79.2 ms
1259 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=72.8 ms
1259 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=102 ms
1259 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=220 ms
1259 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=100 ms
1259 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=139 ms
1259 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=89.5 ms
1259 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=136 ms
1259 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=95.4 ms
1259 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=135 ms
1259 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=66.1 ms
1259 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=213 ms
1259 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=73.4 ms
1259 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=130 ms
1259 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=87.6 ms
1259 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=77.9 ms
1259 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=84.5 ms
1259 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=123 ms
1259 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=82.2 ms
1259 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=121 ms
1259 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=59.6 ms
1259 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=60.7 ms
1259 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=74.2 ms
1259 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=60.1 ms
1259 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=59.6 ms
1259 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=66.7 ms
1259 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=85.8 ms
1259 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=83.3 ms
1259 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=79.5 ms
1259 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=59.5 ms
1259 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=66.3 ms
1259 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=101 ms
1259 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=141 ms
1259 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=99.1 ms
1259 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=144 ms
1259 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=99.1 ms
1259 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=68.8 ms
1259 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=95.8 ms
1259 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=133 ms
1259 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=90.3 ms
1259 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=129 ms
1259 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=88.4 ms
1259 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=127 ms
1259 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=86.0 ms
1259 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=124 ms
1259 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=82.6 ms
1259 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=121 ms
1259 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=87.4 ms
1259 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=118 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49066ms
rtt min/avg/max/mdev = 59.529/99.703/220.234/34.631 ms
