PING 88.80.187.84 (88.80.187.84) 1301(1329) bytes of data.
1309 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=80.4 ms
1309 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=88.8 ms
1309 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=132 ms
1309 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=71.8 ms
1309 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=129 ms
1309 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=75.3 ms
1309 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=126 ms
1309 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=68.1 ms
1309 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=65.5 ms
1309 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=66.2 ms
1309 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=72.8 ms
1309 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=79.4 ms
1309 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=70.1 ms
1309 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=77.9 ms
1309 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=115 ms
1309 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=74.5 ms
1309 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=58.3 ms
1309 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=71.1 ms
1309 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=74.6 ms
1309 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=83.9 ms
1309 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=107 ms
1309 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=59.2 ms
1309 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=67.1 ms
1309 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=144 ms
1309 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=102 ms
1309 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=138 ms
1309 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=179 ms
1309 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=138 ms
1309 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=96.8 ms
1309 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=118 ms
1309 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=94.0 ms
1309 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=134 ms
1309 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=66.4 ms
1309 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=131 ms
1309 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=89.3 ms
1309 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=68.7 ms
1309 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=68.8 ms
1309 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=68.8 ms
1309 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=83.0 ms
1309 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=121 ms
1309 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=80.0 ms
1309 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=119 ms
1309 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=78.5 ms
1309 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=117 ms
1309 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=75.8 ms
1309 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=114 ms
1309 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=323 ms
1309 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=112 ms
1309 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=82.9 ms
1309 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=115 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49065ms
rtt min/avg/max/mdev = 58.342/99.410/323.243/42.107 ms
