PING 88.80.187.84 (88.80.187.84) 326(354) bytes of data.
334 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=73.7 ms
334 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=114 ms
334 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=69.5 ms
334 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=65.0 ms
334 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=74.6 ms
334 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=115 ms
334 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=59.2 ms
334 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=114 ms
334 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=74.3 ms
334 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=69.8 ms
334 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=64.1 ms
334 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=63.4 ms
334 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=62.6 ms
334 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=66.0 ms
334 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=67.2 ms
334 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=58.6 ms
334 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=56.1 ms
334 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=66.6 ms
334 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=71.2 ms
334 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=110 ms
334 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=70.2 ms
334 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=109 ms
334 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=72.7 ms
334 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=108 ms
334 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=68.5 ms
334 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=106 ms
334 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=66.9 ms
334 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=106 ms
334 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=64.4 ms
334 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=184 ms
334 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=64.2 ms
334 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=103 ms
334 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=63.0 ms
334 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=63.0 ms
334 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=141 ms
334 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=71.8 ms
334 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=139 ms
334 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=60.8 ms
334 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=71.1 ms
334 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=65.0 ms
334 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=59.0 ms
334 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=99.5 ms
334 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=55.3 ms
334 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=55.4 ms
334 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=138 ms
334 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=69.2 ms
334 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=138 ms
334 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=97.1 ms
334 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=138 ms
334 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=93.0 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49017ms
rtt min/avg/max/mdev = 55.307/85.092/183.573/29.344 ms
