PING 88.80.187.84 (88.80.187.84) 551(579) bytes of data.
559 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=71.2 ms
559 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=114 ms
559 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=73.7 ms
559 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=78.1 ms
559 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=71.5 ms
559 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=69.8 ms
559 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=67.1 ms
559 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=104 ms
559 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=64.6 ms
559 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=101 ms
559 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=59.9 ms
559 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=70.4 ms
559 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=64.9 ms
559 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=67.9 ms
559 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=66.8 ms
559 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=172 ms
559 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=86.5 ms
559 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=89.8 ms
559 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=130 ms
559 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=88.5 ms
559 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=67.1 ms
559 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=66.5 ms
559 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=122 ms
559 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=58.5 ms
559 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=55.1 ms
559 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=77.2 ms
559 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=68.7 ms
559 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=56.7 ms
559 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=85.3 ms
559 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=57.0 ms
559 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=110 ms
559 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=70.8 ms
559 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=107 ms
559 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=68.4 ms
559 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=105 ms
559 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=63.8 ms
559 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=102 ms
559 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=140 ms
559 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=98.7 ms
559 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=137 ms
559 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=95.7 ms
559 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=55.9 ms
559 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=90.8 ms
559 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=83.3 ms
559 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=89.1 ms
559 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=128 ms
559 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=68.9 ms
559 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=126 ms
559 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=77.1 ms
559 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=62.7 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49070ms
rtt min/avg/max/mdev = 55.053/86.147/172.123/26.091 ms
