PING 88.80.187.84 (88.80.187.84) 251(279) bytes of data.
259 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=75.4 ms
259 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=114 ms
259 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=70.7 ms
259 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=110 ms
259 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=68.6 ms
259 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=106 ms
259 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=64.7 ms
259 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=102 ms
259 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=141 ms
259 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=69.1 ms
259 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=138 ms
259 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=92.7 ms
259 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=134 ms
259 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=91.6 ms
259 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=130 ms
259 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=85.6 ms
259 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=127 ms
259 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=84.0 ms
259 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=121 ms
259 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=81.7 ms
259 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=123 ms
259 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=77.1 ms
259 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=116 ms
259 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=74.9 ms
259 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=111 ms
259 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=72.9 ms
259 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=111 ms
259 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=70.0 ms
259 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=83.3 ms
259 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=67.0 ms
259 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=105 ms
259 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=63.9 ms
259 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=102 ms
259 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=141 ms
259 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=98.4 ms
259 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=142 ms
259 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=94.8 ms
259 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=133 ms
259 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=91.4 ms
259 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=138 ms
259 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=88.6 ms
259 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=127 ms
259 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=83.3 ms
259 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=120 ms
259 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=80.9 ms
259 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=119 ms
259 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=77.7 ms
259 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=116 ms
259 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=72.7 ms
259 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=111 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49083ms
rtt min/avg/max/mdev = 63.944/100.345/141.726/23.889 ms
