PING 88.80.187.84 (88.80.187.84) 926(954) bytes of data.
934 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=144 ms
934 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=76.5 ms
934 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=142 ms
934 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=102 ms
934 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=142 ms
934 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=102 ms
934 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=142 ms
934 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=102 ms
934 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=141 ms
934 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=101 ms
934 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=148 ms
934 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=107 ms
934 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=92.7 ms
934 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=99.4 ms
934 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=139 ms
934 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=98.1 ms
934 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=138 ms
934 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=98.8 ms
934 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=138 ms
934 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=98.3 ms
934 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=70.3 ms
934 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=96.1 ms
934 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=58.5 ms
934 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=96.7 ms
934 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=78.2 ms
934 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=66.9 ms
934 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=68.1 ms
934 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=63.4 ms
934 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=68.1 ms
934 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=58.6 ms
934 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=134 ms
934 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=94.4 ms
934 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=58.1 ms
934 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=67.1 ms
934 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=58.1 ms
934 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=93.9 ms
934 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=115 ms
934 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=65.5 ms
934 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=62.3 ms
934 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=92.5 ms
934 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=133 ms
934 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=57.8 ms
934 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=59.8 ms
934 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=79.4 ms
934 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=80.4 ms
934 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=90.0 ms
934 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=70.8 ms
934 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=81.6 ms
934 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=70.0 ms
934 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=81.3 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49014ms
rtt min/avg/max/mdev = 57.816/94.439/147.848/28.505 ms
