PING 88.80.187.84 (88.80.187.84) 726(754) bytes of data.
734 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=67.2 ms
734 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=106 ms
734 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=66.8 ms
734 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=102 ms
734 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=73.7 ms
734 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=95.6 ms
734 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=138 ms
734 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=95.0 ms
734 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=134 ms
734 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=89.9 ms
734 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=131 ms
734 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=90.0 ms
734 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=129 ms
734 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=86.9 ms
734 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=124 ms
734 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=85.0 ms
734 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=203 ms
734 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=81.9 ms
734 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=120 ms
734 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=79.1 ms
734 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=125 ms
734 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=77.9 ms
734 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=194 ms
734 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=74.5 ms
734 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=112 ms
734 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=63.7 ms
734 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=108 ms
734 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=70.2 ms
734 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=106 ms
734 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=66.9 ms
734 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=101 ms
734 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=141 ms
734 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=99.9 ms
734 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=140 ms
734 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=70.6 ms
734 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=136 ms
734 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=94.2 ms
734 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=135 ms
734 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=91.3 ms
734 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=131 ms
734 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=78.9 ms
734 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=127 ms
734 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=86.2 ms
734 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=125 ms
734 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=83.8 ms
734 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=123 ms
734 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=80.0 ms
734 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=119 ms
734 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=78.2 ms
734 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=67.9 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49069ms
rtt min/avg/max/mdev = 63.671/104.103/203.400/30.498 ms
