PING 88.80.187.84 (88.80.187.84) 451(479) bytes of data.
459 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=76.6 ms
459 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=124 ms
459 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=54.3 ms
459 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=112 ms
459 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=71.7 ms
459 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=109 ms
459 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=67.8 ms
459 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=105 ms
459 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=63.6 ms
459 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=101 ms
459 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=139 ms
459 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=94.2 ms
459 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=137 ms
459 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=94.8 ms
459 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=134 ms
459 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=93.3 ms
459 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=132 ms
459 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=90.7 ms
459 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=129 ms
459 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=67.7 ms
459 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=125 ms
459 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=83.2 ms
459 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=126 ms
459 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=80.2 ms
459 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=118 ms
459 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=76.9 ms
459 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=117 ms
459 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=74.4 ms
459 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=113 ms
459 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=73.2 ms
459 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=111 ms
459 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=69.7 ms
459 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=107 ms
459 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=67.1 ms
459 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=106 ms
459 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=63.6 ms
459 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=103 ms
459 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=141 ms
459 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=101 ms
459 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=139 ms
459 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=97.3 ms
459 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=136 ms
459 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=95.7 ms
459 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=134 ms
459 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=92.0 ms
459 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=130 ms
459 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=89.2 ms
459 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=128 ms
459 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=85.9 ms
459 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=125 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49070ms
rtt min/avg/max/mdev = 54.330/102.058/141.456/24.542 ms
