PING 88.80.187.84 (88.80.187.84) 301(329) bytes of data.
309 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=67.2 ms
309 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=105 ms
309 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=64.2 ms
309 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=102 ms
309 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=137 ms
309 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=97.7 ms
309 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=144 ms
309 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=93.4 ms
309 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=132 ms
309 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=90.2 ms
309 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=130 ms
309 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=73.3 ms
309 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=127 ms
309 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=84.9 ms
309 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=123 ms
309 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=72.0 ms
309 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=120 ms
309 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=73.0 ms
309 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=117 ms
309 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=74.8 ms
309 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=114 ms
309 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=75.8 ms
309 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=110 ms
309 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=69.9 ms
309 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=107 ms
309 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=67.0 ms
309 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=102 ms
309 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=63.8 ms
309 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=99.9 ms
309 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=140 ms
309 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=97.5 ms
309 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=136 ms
309 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=94.7 ms
309 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=133 ms
309 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=90.0 ms
309 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=129 ms
309 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=87.2 ms
309 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=127 ms
309 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=84.6 ms
309 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=123 ms
309 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=53.3 ms
309 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=120 ms
309 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=78.0 ms
309 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=116 ms
309 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=55.4 ms
309 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=114 ms
309 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=63.3 ms
309 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=108 ms
309 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=70.8 ms
309 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=109 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49077ms
rtt min/avg/max/mdev = 53.278/99.267/143.638/25.009 ms
