PING 88.80.187.84 (88.80.187.84) 276(304) bytes of data.
284 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=75.5 ms
284 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=114 ms
284 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=72.1 ms
284 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=111 ms
284 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=68.7 ms
284 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=107 ms
284 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=66.4 ms
284 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=104 ms
284 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=63.9 ms
284 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=102 ms
284 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=53.9 ms
284 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=98.6 ms
284 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=134 ms
284 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=96.0 ms
284 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=134 ms
284 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=92.8 ms
284 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=131 ms
284 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=88.9 ms
284 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=128 ms
284 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=86.9 ms
284 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=126 ms
284 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=83.7 ms
284 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=71.4 ms
284 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=79.8 ms
284 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=73.0 ms
284 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=76.6 ms
284 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=115 ms
284 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=73.4 ms
284 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=112 ms
284 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=150 ms
284 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=109 ms
284 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=67.2 ms
284 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=105 ms
284 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=62.8 ms
284 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=77.1 ms
284 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=139 ms
284 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=98.2 ms
284 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=134 ms
284 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=95.1 ms
284 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=133 ms
284 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=89.8 ms
284 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=129 ms
284 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=87.0 ms
284 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=126 ms
284 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=84.0 ms
284 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=123 ms
284 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=517 ms
284 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=490 ms
284 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=192 ms
284 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=128 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49074ms
rtt min/avg/max/mdev = 53.858/117.487/516.868/83.389 ms
